Food_Items,Sodium_Content,Glycemic_Index,Contains_Nuts,Contains_Glutten,Contains_Diary,Veg_Nonveg,Calories,Fat,Protein,Iron,Calcium,Sodium,Potassium,Fibre,Magnesium,Zinc,Carbohydrates
Eggplant,Low,Low,No,No,No,Veg,25,0.18,0.98,0.00023,0.009,0.002,0.229,3,0.014,0.00016,5.9
Red cabbage ,Low,Low,No,No,No,Veg,25,0.1,1.3,0.00047,0.04,0.027,0.243,2.1,0.012,0.00018,5.8
Tigernut Drink,Low,Low,No,No,No,Non-veg,60,2.5,0.5,0.0018,0.016,0.015,0.115,0,0.017,0.0001,9.6
Fruit cake,High,High,Yes,Yes,Yes,Non-veg,324,12.4,3.2,0.001,0.03,0.296,0.214,1.5,0.024,0.00036,51.6
Vegetable noodles ,High,Low,No,Yes,No,Non-veg,17,0.32,1.5,0.00028,0.016,0.009,0.261,1,0.029,0.00028,3.1
Moringa Salad,Low,Low,No,No,No,Non-veg,35,0.57,2.1,0.0009,0.185,0.009,0.337,2,0.045,0.00057,4.8
Moringa ,Low,Low,No,No,No,Veg,64,1.4,9.4,0.0053,0.185,0.009,0.337,3.2,0.147,0.0057,8.3
Celery,Low,Low,No,No,No,Veg,16,0.2,0.7,0.0002,0.04,0.08,0.26,1.6,0.011,0.00013,3
Dark chocolate,Low,Low,No,No,No,Non-veg,598,42.8,7.8,0.0119,0.073,0.01,0.715,11,0.228,0.0033,46.9
Grapes,Low,Low,No,No,No,Non-veg,69,0.2,0.7,0.00036,0.001,0.002,0.191,0.9,0.007,0.0001,18.1
Pears,Low,Low,No,No,No,Non-veg,57,0.1,0.4,0.00017,0.009,0.001,0.119,3.1,0.007,0.0001,15.5
Peas,Low,Low,No,No,No,Non-veg,81,0.4,5.4,0.0015,0.0025,0.005,0.244,5.7,0.033,0.0012,14.5
Milk,Low,Low,No,No,Yes,Non-veg,61,3.3,3.2,0.00003,0.113,0.047,0.15,0,0.011,0.0004,4.8
Corn,Low,High,No,No,No,Non-veg,86,1.2,3.2,0.00052,0.002,0.015,0.27,2.7,0.037,0.0005,19
Onions,Low,Low,No,No,No,Veg,40,0.1,1.1,0.00021,0.023,0.004,0.146,1.7,0.01,0.00017,9.3
Crackers,High,High,No,No,No,Non-veg,418,12.8,7.7,0.0047,0.04,0.829,0.146,2.3,0.029,0.0022,69.9
Guava,Low,Low,No,No,No,Non-veg,68,0.9,2.6,0.00026,0.018,0.002,0.417,5.4,0.022,0.00023,14.3
Asparagus,Low,Low,No,No,No,Veg,20,0.1,2.2,0.001,0.024,0.002,0.202,2.1,0.014,0.0005,3.9
Lettuce salad,Low,Low,No,No,No,Veg,15,0.2,1.4,0.0006,0.036,0.028,0.194,1.3,0.013,0.0002,2.9
Boiled eggs,Low,Low,No,No,No,Non-veg,155,11,13,0.0012,0.05,0.124,0.126,0,0.01,0.0011,1.1
Cashew nuts,Low,Low,No,No,No,Non-veg,553,44,18,0.0068,0.037,0.012,0.66,3.3,0.292,0.0058,30
Almonds  ,Low,Low,No,No,No,Non-veg,579,49,21,0.0037,0.269,0.001,0.733,12,0.27,0.0031,22
Baobab drinks,Low,Low,No,No,No,Non-veg,174,0.2,1.3,0.0012,0.3,0.005,0.394,44,0.148,0.001,8
Honey,Low,High,No,No,No,Non-veg,304,0,0.3,0.0004,0.006,0.004,0.052,0.2,0.002,0.0002,82
Honeydew melon,Low,Low,No,No,No,Non-veg,36,0.1,0.5,0.0002,0.006,0.018,0.228,0.8,0.01,0.0001,9
Figs,Low,Low,No,No,No,Non-veg,74,0.3,0.8,0.0004,0.035,0.001,0.232,2.9,0.017,0.0002,19
